id,filename,category,subcategory,source,source_url,license,license_verified,duration_seconds,sample_rate,channels,bit_depth,original_format,processed_format,recording_environment,distance_class,intensity_class,synthetic,split,notes
MB_SUPP_AIRCRAFT_011,aircraft_011.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.58,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_012,aircraft_012.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,2.60,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_013,aircraft_013.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.62,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_014,aircraft_014.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.74,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_015,aircraft_015.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,2.57,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_016,aircraft_016.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.66,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_017,aircraft_017.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.69,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_018,aircraft_018.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,2.81,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,validation,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_019,aircraft_019.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,2.94,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,test,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_020,aircraft_020.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.31,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_021,aircraft_021.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.65,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_022,aircraft_022.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.35,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_023,aircraft_023.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.54,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_024,aircraft_024.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.20,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_025,aircraft_025.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.53,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_026,aircraft_026.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.61,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_027,aircraft_027.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.51,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_028,aircraft_028.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,2.62,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,validation,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_029,aircraft_029.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,2.68,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,test,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_030,aircraft_030.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,2.52,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_031,aircraft_031.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,2.90,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_032,aircraft_032.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.71,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_033,aircraft_033.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.71,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_034,aircraft_034.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.18,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_035,aircraft_035.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.57,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_036,aircraft_036.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.26,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_037,aircraft_037.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.47,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_038,aircraft_038.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.58,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,validation,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_039,aircraft_039.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.79,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,test,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_040,aircraft_040.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,2.56,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_041,aircraft_041.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,2.89,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_042,aircraft_042.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,2.96,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_043,aircraft_043.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.53,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_044,aircraft_044.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.46,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_045,aircraft_045.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.62,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_046,aircraft_046.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.38,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_047,aircraft_047.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.11,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_048,aircraft_048.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,2.84,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,validation,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_049,aircraft_049.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.20,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,test,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_050,aircraft_050.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.49,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_051,aircraft_051.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.99,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_052,aircraft_052.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.02,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_053,aircraft_053.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,2.79,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_054,aircraft_054.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.12,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_055,aircraft_055.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.57,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_056,aircraft_056.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,2.53,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_057,aircraft_057.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.65,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_058,aircraft_058.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.79,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,validation,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_059,aircraft_059.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.85,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,test,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_060,aircraft_060.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.46,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_061,aircraft_061.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.76,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_062,aircraft_062.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.58,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_063,aircraft_063.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.22,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_064,aircraft_064.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.62,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_065,aircraft_065.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.21,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_066,aircraft_066.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.89,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_067,aircraft_067.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.25,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_068,aircraft_068.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.48,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,validation,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_069,aircraft_069.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,2.83,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,test,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_070,aircraft_070.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.67,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_071,aircraft_071.wav,aircraft,Operational Aircraft,NOAA Environmental & Atmospheric Sound Repository,https://www.ncei.noaa.gov,US Government Public Domain (17 U.S.C. § 105),true,3.73,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_072,aircraft_072.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.64,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_073,aircraft_073.wav,aircraft,Operational Aircraft,NASA Aeronautics & Propulsion Acoustics Archive,https://www.nasa.gov,US Government Public Domain / NASA Open Science,true,3.18,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_074,aircraft_074.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.60,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_075,aircraft_075.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.10,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_076,aircraft_076.wav,aircraft,Operational Aircraft,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.79,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_077,aircraft_077.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.29,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,far_field,moderate,false,train,High-fidelity operational noise asset (aircraft)
MB_SUPP_AIRCRAFT_078,aircraft_078.wav,aircraft,Operational Aircraft,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.83,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,tactical_field,near_field,moderate,false,validation,High-fidelity operational noise asset (aircraft)
